Transaction ID,Date,Customer ID,Gender,Age, State ,Product Category,Quantity,Price per Unit,Total Amount,Month Start,Age Group
1,24-11-2023,CUST001,Male,34, Rajasthan ,Beauty,3,50,150,Nov 2023,30-44
2,27-02-2023,CUST002,Female,26, Bihar ,Clothing,2,500,1000,Feb 2023,Under 30
3,13-01-2023,CUST003,Male,50, Andhra Pradesh ,Electronics,1,30,30,Jan 2023,45-59
4,21-05-2023,CUST004,Male,37, Telangana ,Clothing,1,500,500,May 2023,30-44
5,06-05-2023,CUST005,Male,30, Himachal Pradesh ,Beauty,2,50,100,May 2023,30-44
6,25-04-2023,CUST006,Female,45, Haryana ,Beauty,1,30,30,Apr 2023,45-59
7,13-03-2023,CUST007,Male,46, Haryana ,Clothing,2,25,50,Mar 2023,45-59
8,22-02-2023,CUST008,Male,30, Chhattisgarh ,Electronics,4,25,100,Feb 2023,30-44
9,13-12-2023,CUST009,Male,63, Telangana ,Electronics,2,300,600,Dec 2023,60+
10,07-10-2023,CUST010,Female,52, Bihar ,Clothing,4,50,200,Oct 2023,45-59
11,14-02-2023,CUST011,Male,23, Sikkim ,Clothing,2,50,100,Feb 2023,Under 30
12,30-10-2023,CUST012,Male,35, Telangana ,Beauty,3,25,75,Oct 2023,30-44
13,05-08-2023,CUST013,Male,22, Nagaland ,Electronics,3,500,1500,Aug 2023,Under 30
14,17-01-2023,CUST014,Male,64, Assam ,Clothing,4,30,120,Jan 2023,60+
15,16-01-2023,CUST015,Female,42, Odisha ,Electronics,4,500,2000,Jan 2023,30-44
16,17-02-2023,CUST016,Male,19, Maharashtra ,Clothing,3,500,1500,Feb 2023,Under 30
17,22-04-2023,CUST017,Female,27, Arunachal Pradesh ,Clothing,4,25,100,Apr 2023,Under 30
18,30-04-2023,CUST018,Female,47, Andhra Pradesh ,Electronics,2,25,50,Apr 2023,45-59
19,16-09-2023,CUST019,Female,62, Assam ,Clothing,2,25,50,Sep 2023,60+
20,05-11-2023,CUST020,Male,22, Gujarat ,Clothing,3,300,900,Nov 2023,Under 30
21,14-01-2023,CUST021,Female,50, Haryana ,Beauty,1,500,500,Jan 2023,45-59
22,15-10-2023,CUST022,Male,18, Mizoram ,Clothing,2,50,100,Oct 2023,Under 30
23,12-04-2023,CUST023,Female,35, Punjab ,Clothing,4,30,120,Apr 2023,30-44
24,29-11-2023,CUST024,Female,49, Andhra Pradesh ,Clothing,1,300,300,Nov 2023,45-59
25,26-12-2023,CUST025,Female,64, Nagaland ,Beauty,1,50,50,Dec 2023,60+
26,07-10-2023,CUST026,Female,28, Gujarat ,Electronics,2,500,1000,Oct 2023,Under 30
27,03-08-2023,CUST027,Female,38, Tamil Nadu ,Beauty,2,25,50,Aug 2023,30-44
28,23-04-2023,CUST028,Female,43, Rajasthan ,Beauty,1,500,500,Apr 2023,30-44
29,18-08-2023,CUST029,Female,42, Tamil Nadu ,Electronics,1,30,30,Aug 2023,30-44
30,29-10-2023,CUST030,Female,39, Nagaland ,Beauty,3,300,900,Oct 2023,30-44
31,23-05-2023,CUST031,Male,44, Maharashtra ,Electronics,4,300,1200,May 2023,30-44
32,04-01-2023,CUST032,Male,30, Haryana ,Beauty,3,30,90,Jan 2023,30-44
33,23-03-2023,CUST033,Female,50, Manipur ,Electronics,2,50,100,Mar 2023,45-59
34,24-12-2023,CUST034,Female,51, Odisha ,Clothing,3,50,150,Dec 2023,45-59
35,05-08-2023,CUST035,Female,58, Himachal Pradesh ,Beauty,3,300,900,Aug 2023,45-59
36,24-06-2023,CUST036,Male,52, Uttar Pradesh ,Beauty,3,300,900,Jun 2023,45-59
37,23-05-2023,CUST037,Female,18, West Bengal ,Beauty,3,25,75,May 2023,Under 30
38,21-03-2023,CUST038,Male,38, Andhra Pradesh ,Beauty,4,50,200,Mar 2023,30-44
39,21-04-2023,CUST039,Male,23, Tripura ,Clothing,4,30,120,Apr 2023,Under 30
40,22-06-2023,CUST040,Male,45, Uttar Pradesh ,Beauty,1,50,50,Jun 2023,45-59
41,22-02-2023,CUST041,Male,34, Goa ,Clothing,2,25,50,Feb 2023,30-44
42,17-02-2023,CUST042,Male,22, Tamil Nadu ,Clothing,3,300,900,Feb 2023,Under 30
43,14-07-2023,CUST043,Female,48, Maharashtra ,Clothing,1,300,300,Jul 2023,45-59
44,19-02-2023,CUST044,Female,22, Karnataka ,Clothing,1,25,25,Feb 2023,Under 30
45,03-07-2023,CUST045,Female,55, Himachal Pradesh ,Electronics,1,30,30,Jul 2023,45-59
46,26-06-2023,CUST046,Female,20, Chhattisgarh ,Electronics,4,300,1200,Jun 2023,Under 30
47,06-11-2023,CUST047,Female,40, Gujarat ,Beauty,3,500,1500,Nov 2023,30-44
48,16-05-2023,CUST048,Male,54, Tripura ,Electronics,3,300,900,May 2023,45-59
49,23-01-2023,CUST049,Female,54, Karnataka ,Electronics,2,500,1000,Jan 2023,45-59
50,24-08-2023,CUST050,Female,27, Bihar ,Beauty,3,25,75,Aug 2023,Under 30
51,02-10-2023,CUST051,Male,27, Assam ,Beauty,3,25,75,Oct 2023,Under 30
52,05-03-2023,CUST052,Female,36, Madhya Pradesh ,Beauty,1,300,300,Mar 2023,30-44
53,13-07-2023,CUST053,Male,34, Bihar ,Electronics,2,50,100,Jul 2023,30-44
54,10-02-2023,CUST054,Female,38, Kerala ,Electronics,3,500,1500,Feb 2023,30-44
55,10-10-2023,CUST055,Male,31, West Bengal ,Beauty,4,30,120,Oct 2023,30-44
56,31-05-2023,CUST056,Female,26, Kerala ,Clothing,3,300,900,May 2023,Under 30
57,18-11-2023,CUST057,Female,63, Punjab ,Beauty,1,30,30,Nov 2023,60+
58,13-11-2023,CUST058,Male,18, Himachal Pradesh ,Clothing,4,300,1200,Nov 2023,Under 30
59,05-07-2023,CUST059,Male,62, Uttar Pradesh ,Clothing,1,50,50,Jul 2023,60+
60,23-10-2023,CUST060,Male,30, Arunachal Pradesh ,Beauty,3,50,150,Oct 2023,30-44
